text,label
The streetlight at Main St is broken (0),complaint
There is a pothole near Oak Avenue (1),complaint
Can you build a new park in our area? (2),suggestion
I would like more dustbins in the street (3),suggestion
What is the status of my query 123? (4),status
Has my complaint been resolved? (5),status
I want to register a new query (6),request
Please log a request for water supply (7),request
The streetlight at Main St is broken (8),complaint
There is a pothole near Oak Avenue (9),complaint
Can you build a new park in our area? (10),suggestion
I would like more dustbins in the street (11),suggestion
What is the status of my query 123? (12),status
Has my complaint been resolved? (13),status
I want to register a new query (14),request
Please log a request for water supply (15),request
The streetlight at Main St is broken (16),complaint
There is a pothole near Oak Avenue (17),complaint
Can you build a new park in our area? (18),suggestion
I would like more dustbins in the street (19),suggestion
What is the status of my query 123? (20),status
Has my complaint been resolved? (21),status
I want to register a new query (22),request
Please log a request for water supply (23),request
The streetlight at Main St is broken (24),complaint
There is a pothole near Oak Avenue (25),complaint
Can you build a new park in our area? (26),suggestion
I would like more dustbins in the street (27),suggestion
What is the status of my query 123? (28),status
Has my complaint been resolved? (29),status
I want to register a new query (30),request
Please log a request for water supply (31),request
The streetlight at Main St is broken (32),complaint
There is a pothole near Oak Avenue (33),complaint
Can you build a new park in our area? (34),suggestion
I would like more dustbins in the street (35),suggestion
What is the status of my query 123? (36),status
Has my complaint been resolved? (37),status
I want to register a new query (38),request
Please log a request for water supply (39),request
The streetlight at Main St is broken (40),complaint
There is a pothole near Oak Avenue (41),complaint
Can you build a new park in our area? (42),suggestion
I would like more dustbins in the street (43),suggestion
What is the status of my query 123? (44),status
Has my complaint been resolved? (45),status
I want to register a new query (46),request
Please log a request for water supply (47),request
The streetlight at Main St is broken (48),complaint
There is a pothole near Oak Avenue (49),complaint
Can you build a new park in our area? (50),suggestion
I would like more dustbins in the street (51),suggestion
What is the status of my query 123? (52),status
Has my complaint been resolved? (53),status
I want to register a new query (54),request
Please log a request for water supply (55),request
The streetlight at Main St is broken (56),complaint
There is a pothole near Oak Avenue (57),complaint
Can you build a new park in our area? (58),suggestion
I would like more dustbins in the street (59),suggestion
What is the status of my query 123? (60),status
Has my complaint been resolved? (61),status
I want to register a new query (62),request
Please log a request for water supply (63),request
The streetlight at Main St is broken (64),complaint
There is a pothole near Oak Avenue (65),complaint
Can you build a new park in our area? (66),suggestion
I would like more dustbins in the street (67),suggestion
